chapter_order,chapter_title,topic_code,topic_title,slo_code,slo_text,cognitive_level
2,Matrices and Determinants,2.3,Solution of Linear Equations using Matrices,2.3.5,Solve a system of three linear equations using Gauss-Jordan method (reduced echelon form),FA
2,Matrices and Determinants,2.3,Solution of Linear Equations using Matrices,2.3.6,"Apply matrix concepts to real world problems: graphic design, data encryption, seismic analysis, cryptography, geometric transformations, social network analysis",FA
3,Sequence and Series,3.1,Sequence (progression),3.1.1,Describe a sequence (progression),R
3,Sequence and Series,3.1,Sequence (progression),3.1.2,Find the general term when a sequence is given,A
3,Sequence and Series,3.1,Sequence (progression),3.1.3,Find a particular term of a sequence using the general term,A
3,Sequence and Series,3.2,Arithmetic Sequence,3.2.1,Describe an arithmetic sequence,R
3,Sequence and Series,3.2,Arithmetic Sequence,3.2.2,Derive the formula of the nth (general) term of an arithmetic sequence,A
3,Sequence and Series,3.2,Arithmetic Sequence,3.2.3,Solve problems involving arithmetic sequence,A
3,Sequence and Series,3.3,Arithmetic Mean,3.3.1,Find the arithmetic mean between two terms,A
3,Sequence and Series,3.3,Arithmetic Mean,3.3.2,Find n arithmetic means between two terms,A
3,Sequence and Series,3.4,Arithmetic Series,3.4.1,Describe an arithmetic series,R
3,Sequence and Series,3.4,Arithmetic Series,3.4.2,Derive the formula for the sum of an arithmetic series up to n terms,A
3,Sequence and Series,3.4,Arithmetic Series,3.4.3,Solve problems involving arithmetic series,A
3,Sequence and Series,3.5,Geometric Sequence,3.5.1,Describe a geometric sequence,R
3,Sequence and Series,3.5,Geometric Sequence,3.5.2,Derive the formula of the nth (general) term of a geometric sequence,A
3,Sequence and Series,3.5,Geometric Sequence,3.5.3,Solve problems involving geometric sequence,A
3,Sequence and Series,3.6,Geometric Mean,3.6.1,Find the geometric mean between two terms,A
3,Sequence and Series,3.6,Geometric Mean,3.6.2,Find n geometric means between two terms,A
3,Sequence and Series,3.7,Geometric Series,3.7.1,Describe a geometric series,R
3,Sequence and Series,3.7,Geometric Series,3.7.2,Find the sum to n terms of a geometric series,A
3,Sequence and Series,3.7,Geometric Series,3.7.3,Find the sum of an infinite geometric series,A
3,Sequence and Series,3.7,Geometric Series,3.7.4,Convert a recurring decimal into an equivalent common fraction,A
3,Sequence and Series,3.7,Geometric Series,3.7.5,Solve problems involving geometric series,A
3,Sequence and Series,3.8,Harmonic Sequence,3.8.1,Describe the harmonic sequence,R
3,Sequence and Series,3.8,Harmonic Sequence,3.8.2,Find the nth term of a harmonic sequence,A
3,Sequence and Series,3.8,Harmonic Sequence,3.8.3,Solve problems involving harmonic sequence,A
3,Sequence and Series,3.9,Harmonic Mean,3.9.1,Find the harmonic mean between two terms,A
3,Sequence and Series,3.9,Harmonic Mean,3.9.2,Find n harmonic means between two terms,A
3,Sequence and Series,3.9,Harmonic Mean,3.9.3,"Find the relationship among arithmetic, geometric and harmonic means",A
3,Sequence and Series,3.9,Harmonic Mean,3.9.4,Solve problems by analysing harmonic sequences up to n terms,FA
3,Sequence and Series,3.10,Real World Application of Sequences,3.10.1,"Explain leasing of motor vehicles, down payment, insurance, processing charges and instalment repayment as applications of sequences",R
3,Sequence and Series,3.10,Real World Application of Sequences,3.10.2,"Apply sequence and series concepts to real world problems: simple interest, investment, depreciation, compound interest, vehicle leasing",FA
4,Miscellaneous Series,4.1,"Evaluation of $\sum n$, $\sum n^2$, $\sum n^3$",4.1.1,Identify sigma notation to express the sum of values of a variable concisely,U
4,Miscellaneous Series,4.1,"Evaluation of $\sum n$, $\sum n^2$, $\sum n^3$",4.1.2,"Find the sum of the first $n$ natural numbers, their squares, and their cubes",A
4,Miscellaneous Series,4.1,"Evaluation of $\sum n$, $\sum n^2$, $\sum n^3$",4.1.3,"Solve problems involving $\sum n$, $\sum n^2$ and $\sum n^3$",A
5,Permutation and Combination,5.1,Factorial of a Natural Number,5.1.1,Explain the concept of factorial and the fact that $0! = 1$,U
5,Permutation and Combination,5.2,Counting Techniques,5.2.1,Apply the fundamental principle of counting in different situations,A
5,Permutation and Combination,5.2,Counting Techniques,5.2.2,Construct a tree diagram using the fundamental principle of counting,A
5,Permutation and Combination,5.2,Counting Techniques,5.2.3,Explain the meaning of permutation (${}^{n}P_{r}$) of $n$ different objects taken $r$ at a time,U
5,Permutation and Combination,5.2,Counting Techniques,5.2.4,Solve problems involving permutation,A
5,Permutation and Combination,5.2,Counting Techniques,5.2.5,Find the arrangement of different objects around a circle,A
5,Permutation and Combination,5.2,Counting Techniques,5.2.6,Explain the meaning of combination (${}^{n}C_{r}$) of $n$ different objects taken $r$ at a time,U
5,Permutation and Combination,5.2,Counting Techniques,5.2.7,Solve problems involving combination,A
5,Permutation and Combination,5.2,Counting Techniques,5.2.8,"Verify standard combination identities for positive integers $n$ and $r$, where $n > r$",E
5,Permutation and Combination,5.3,Application of Counting Techniques,5.3.1,Apply the concepts of permutation and combination to real world problems,A
6,Mathematical Induction and Binomial Theorem,6.1,Mathematical Induction,6.1.1,Describe the principle of mathematical induction as a mathematical argument,U
6,Mathematical Induction and Binomial Theorem,6.1,Mathematical Induction,6.1.2,Identify the base case (induction hypothesis and precise conclusion),U
6,Mathematical Induction and Binomial Theorem,6.1,Mathematical Induction,6.1.3,"Prove statements, identities, divisibility of numbers and summation formulae by mathematical induction",E
6,Mathematical Induction and Binomial Theorem,6.1,Mathematical Induction,6.1.4,Draw conclusions based on the induction hypothesis and conclusion,E
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.1,"Expand $(x + y)^n$ using Pascal's triangle for positive integral values where $n \leq 5$",A
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.2,Derive the binomial theorem for a positive integral index,A
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.3,"Find the general term while expanding $(x + y)^n$ using the binomial theorem",A
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.4,Find the remainder when a number raised to a large exponent is divided by another number using the binomial theorem,FA
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.5,"Find the specified term in the expansion of $(x + y)^n$",A
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.6,Determine the last digit of a number using the binomial theorem to test divisibility,FA
6,Mathematical Induction and Binomial Theorem,6.2,Binomial Theorem,6.2.7,Apply the concepts of the binomial theorem to real world problems,A
6,Mathematical Induction and Binomial Theorem,6.3,Binomial Series,6.3.1,"Expand $(1 + x)^n$ in ascending powers of $x$, where $n$ is a rational (non-natural) number and $|x| < 1$",A
6,Mathematical Induction and Binomial Theorem,6.3,Binomial Series,6.3.2,"Explain the convergence of $(1 + x)^n$ for $|x| < 1$, where $n$ is a rational (non-natural) number",U
6,Mathematical Induction and Binomial Theorem,6.3,Binomial Series,6.3.3,Determine approximate values of binomial expansions with fractional indices,A
6,Mathematical Induction and Binomial Theorem,6.3,Binomial Series,6.3.4,Simplify the product and ratio of binomial expressions,A
7,Factor and Remainder Theorems,7.1,Remainder Theorem,7.1.1,Explain the remainder theorem,FA
7,Factor and Remainder Theorems,7.1,Remainder Theorem,7.1.2,"Divide a polynomial (up to degree 4) by linear and quadratic polynomials, identifying quotient and remainder",FA
7,Factor and Remainder Theorems,7.1,Remainder Theorem,7.1.3,Solve problems involving the remainder theorem,FA
7,Factor and Remainder Theorems,7.2,Factor Theorem,7.2.1,Explain the factor theorem,FA
7,Factor and Remainder Theorems,7.2,Factor Theorem,7.2.2,Identify the quotient and factor,FA
7,Factor and Remainder Theorems,7.2,Factor Theorem,7.2.3,Solve problems related to the factor theorem,FA
7,Factor and Remainder Theorems,7.2,Factor Theorem,7.2.4,Divide a cubic polynomial by linear and quadratic polynomials,FA
7,Factor and Remainder Theorems,7.3,Real World Application,7.3.1,"Apply remainder and factor theorem concepts to real world problems such as polynomial regression, signal processing, and coding theory",FA
8,Trigonometric Identities,8.1,Fundamental Law of Trigonometry,8.1.1,"Define the fundamental trigonometric identities: $\sin^2\theta + \cos^2\theta = 1$, $1 + \tan^2\theta = \sec^2\theta$, $1 + \cot^2\theta = \csc^2\theta$",R
8,Trigonometric Identities,8.1,Fundamental Law of Trigonometry,8.1.2,Explain the fundamental law of trigonometry using the distance formula,U
8,Trigonometric Identities,8.1,Fundamental Law of Trigonometry,8.1.3,Explain the sum and difference formulae for cos, sin and tan derived from the fundamental law,U
8,Trigonometric Identities,8.1,Fundamental Law of Trigonometry,8.1.4,Solve problems related to the fundamental law of trigonometry and its deductions,A
8,Trigonometric Identities,8.2,Trigonometric Ratios of Allied Angles,8.2.1,Define allied angles,R
8,Trigonometric Identities,8.2,Trigonometric Ratios of Allied Angles,8.2.2,Derive trigonometric ratios of allied angles using the fundamental law and its deductions,A
8,Trigonometric Identities,8.2,Trigonometric Ratios of Allied Angles,8.2.3,"Convert $a\sin\theta \pm b\cos\theta$ into the form $r\sin(\theta \pm \varphi)$",A
8,Trigonometric Identities,8.3,"Double, Half and Triple Angle Identities",8.3.1,"Derive double angle, half angle and triple angle identities from the fundamental law of trigonometry",A
8,Trigonometric Identities,8.3,"Double, Half and Triple Angle Identities",8.3.2,Prove trigonometric relations using the double/half/triple angle identities,E
8,Trigonometric Identities,8.4,Sum/Difference and Product of Sine and Cosine,8.4.1,Convert the product of sine and cosine into sum or difference and vice versa,A
8,Trigonometric Identities,8.4,Sum/Difference and Product of Sine and Cosine,8.4.2,Apply the sum or difference of sine and cosine as products and vice versa,A
9,Trigonometric Functions and their Graphs,9.1,Trigonometric Functions,9.1.1,Describe trigonometric functions,R
9,Trigonometric Functions and their Graphs,9.1,Trigonometric Functions,9.1.2,Find the domain and range of trigonometric functions,A
9,Trigonometric Functions and their Graphs,9.1,Trigonometric Functions,9.1.3,Distinguish between even and odd trigonometric functions,U
9,Trigonometric Functions and their Graphs,9.1,Trigonometric Functions,9.1.4,Describe the periodicity of trigonometric functions numerically,U
9,Trigonometric Functions and their Graphs,9.1,Trigonometric Functions,9.1.5,"Find the maximum value, minimum value and amplitude of given trigonometric function forms",A
9,Trigonometric Functions and their Graphs,9.2,Graphs of Trigonometric Functions,9.2.1,"Describe periodic, odd, and translation properties of sin, cos and tan",R
9,Trigonometric Functions and their Graphs,9.2,Graphs of Trigonometric Functions,9.2.2,"Draw the graphs of sin, cos, tan, sec, cosec, cot within the domain $-2\pi$ to $2\pi$",A
9,Trigonometric Functions and their Graphs,9.2,Graphs of Trigonometric Functions,9.2.3,"Sketch trigonometric functions of the form $a\sin(b\theta)$, $a\cos(b\theta)$, $a\tan(b\theta)$",A
9,Trigonometric Functions and their Graphs,9.2,Graphs of Trigonometric Functions,9.2.4,"Interpret graphs of trigonometric functions and their reciprocals for periodicity, even/odd nature and extreme values",An
9,Trigonometric Functions and their Graphs,9.2,Graphs of Trigonometric Functions,9.2.5,Apply trigonometric function/graph concepts to real world problems,FA
10,Inverse Trigonometric Functions and Trigonometric Equations,10.1,Inverse Trigonometric Functions,10.1.1,Describe principal trigonometric functions and inverse trigonometric functions,U
10,Inverse Trigonometric Functions and Trigonometric Equations,10.1,Inverse Trigonometric Functions,10.1.2,Find the domain and range of principal and inverse trigonometric functions,A
10,Inverse Trigonometric Functions and Trigonometric Equations,10.1,Inverse Trigonometric Functions,10.1.3,"Draw the graph of inverse trigonometric functions: cos, sin, tan, sec, cosec, cot",FA
10,Inverse Trigonometric Functions and Trigonometric Equations,10.2,Inverse Trigonometric Identities,10.2.1,Prove addition and subtraction formulae of inverse trigonometric functions,E
10,Inverse Trigonometric Functions and Trigonometric Equations,10.2,Inverse Trigonometric Identities,10.2.2,Prove inverse trigonometric identities using the addition and subtraction formulae,E
10,Inverse Trigonometric Functions and Trigonometric Equations,10.3,Trigonometric Equations,10.3.1,"Solve trigonometric equations of the type $\sin\theta = k$, $\cos\theta = k$, $\tan\theta = k$ where $k$ is constant",A
10,Inverse Trigonometric Functions and Trigonometric Equations,10.3,Trigonometric Equations,10.3.2,Find the general or principal solution of a trigonometric equation and discard extraneous roots,E
10,Inverse Trigonometric Functions and Trigonometric Equations,10.3,Trigonometric Equations,10.3.3,Solve given trigonometric equations graphically,A
10,Inverse Trigonometric Functions and Trigonometric Equations,10.3,Trigonometric Equations,10.3.4,Apply inverse trigonometric functions and equations to real world problems,FA
11,Vectors,11.1,Vectors in a Plane,11.1.1,Explain scalar and vector quantities,R
11,Vectors,11.1,Vectors in a Plane,11.1.2,"Describe equal vectors, negative of a vector, unit vector, zero/null vector, position vector, and parallel vectors",R
11,Vectors,11.1,Vectors in a Plane,11.1.3,Represent a vector graphically,A
11,Vectors,11.1,Vectors in a Plane,11.1.4,"Apply scalar multiplication, addition and subtraction of vectors graphically",A
11,Vectors,11.1,Vectors in a Plane,11.1.5,Represent a vector in a Cartesian plane using unit vectors $\hat{i}$ and $\hat{j}$,A
11,Vectors,11.1,Vectors in a Plane,11.1.6,Find the unit vector in the direction of a given vector,A
11,Vectors,11.1,Vectors in a Plane,11.1.7,Find the position vector of a point dividing a line segment in a given ratio,A
11,Vectors,11.2,Vectors in Space,11.2.1,Describe rectangular coordinates in space,R
11,Vectors,11.2,Vectors in Space,11.2.2,"Represent a vector in space using unit vectors $\hat{i}$, $\hat{j}$, $\hat{k}$",A
11,Vectors,11.2,Vectors in Space,11.2.3,Find the distance between two points in space,A
11,Vectors,11.2,Vectors in Space,11.2.4,"Apply scalar multiplication, addition and subtraction of vectors in three dimensions",A
11,Vectors,11.2,Vectors in Space,11.2.5,Find the magnitude of a vector,A
11,Vectors,11.2,Vectors in Space,11.2.6,Find the unit vector in the direction of a given vector (in space),A
11,Vectors,11.2,Vectors in Space,11.2.7,"Prove commutative and associative laws for vector addition, additive identity and additive inverse",E
11,Vectors,11.2,Vectors in Space,11.2.8,Apply concepts of vectors in space to real world problems,FA
11,Vectors,11.3,Dot or Scalar Product,11.3.1,Explain the dot or scalar product of two vectors,R
11,Vectors,11.3,Dot or Scalar Product,11.3.2,Interpret the dot or scalar product graphically,An
11,Vectors,11.3,Dot or Scalar Product,11.3.3,"Prove standard dot product identities for i, j, k unit vectors",E
11,Vectors,11.3,Dot or Scalar Product,11.3.4,Find the dot product of two vectors,A
11,Vectors,11.3,Dot or Scalar Product,11.3.5,Solve problems based on the condition of orthogonality of two vectors,A
11,Vectors,11.3,Dot or Scalar Product,11.3.6,Find the angle between two vectors using the dot product,A
11,Vectors,11.3,Dot or Scalar Product,11.3.7,Describe the direction cosines of a vector,R
11,Vectors,11.3,Dot or Scalar Product,11.3.8,Find the direction cosines of a vector,A
11,Vectors,11.3,Dot or Scalar Product,11.3.9,Prove that the sum of the squares of direction cosines is unity,E
11,Vectors,11.3,Dot or Scalar Product,11.3.10,Find the projection of a vector along another vector,A
11,Vectors,11.3,Dot or Scalar Product,11.3.11,Solve related problems on direction cosines and projections,A
11,Vectors,11.3,Dot or Scalar Product,11.3.12,Apply dot product concepts to real world problems,FA
11,Vectors,11.4,Cross or Vector Product,11.4.1,Describe the cross or vector product of two vectors with geometric illustration,R
11,Vectors,11.4,Cross or Vector Product,11.4.2,Describe the properties of the cross or vector product,R
11,Vectors,11.4,Cross or Vector Product,11.4.3,"Prove standard cross product identities for i, j, k unit vectors",E
11,Vectors,11.4,Cross or Vector Product,11.4.4,Find the cross product of two vectors,A
11,Vectors,11.4,Cross or Vector Product,11.4.5,Prove that the magnitude of $A \times B$ represents the area of a parallelogram,E
11,Vectors,11.4,Cross or Vector Product,11.4.6,Determine the condition of parallel vectors for two non-zero vectors,A
11,Vectors,11.4,Cross or Vector Product,11.4.7,Solve problems using the condition of parallel vectors,A
11,Vectors,11.4,Cross or Vector Product,11.4.8,Prove $A \times B = -(B \times A)$ with the help of given vectors,E
11,Vectors,11.4,Cross or Vector Product,11.4.9,Solve problems related to cross product and its anti-commutative property,A
11,Vectors,11.4,Cross or Vector Product,11.4.10,Apply cross product concepts to real world problems,FA
11,Vectors,11.5,Scalar Triple Product,11.5.1,Describe the scalar triple product of vectors in terms of components or determinant form,U
11,Vectors,11.5,Scalar Triple Product,11.5.2,Find the scalar triple product of vectors,A
11,Vectors,11.5,Scalar Triple Product,11.5.3,Prove standard scalar triple product identities for i, j, k,E
11,Vectors,11.5,Scalar Triple Product,11.5.4,State that the dot and cross are interchangeable in the scalar triple product,R
11,Vectors,11.5,Scalar Triple Product,11.5.5,Solve related problems on scalar triple product,A
11,Vectors,11.5,Scalar Triple Product,11.5.6,Find the volume of a parallelepiped and tetrahedron determined by three given vectors,A
11,Vectors,11.5,Scalar Triple Product,11.5.7,Describe coplanar vectors,U
11,Vectors,11.5,Scalar Triple Product,11.5.8,Determine the condition for coplanarity of three vectors,A
11,Vectors,11.5,Scalar Triple Product,11.5.9,Solve problems using the condition of coplanarity of three vectors,A
